iter	RMSE
0	0.06897092908
1	0.06896475204
2	0.06895994181
3	0.06895724417
4	0.06895612392
5	0.0689538917
6	0.06895225965
7	0.06894691544
8	0.06894555774
9	0.06894263623
10	0.06894095748
11	0.06893977775
12	0.06893893907
13	0.06893838126
14	0.06893738273
15	0.0689370238
16	0.0689363584
17	0.06893530848
18	0.06893530014
19	0.06893313457
20	0.06893283083
21	0.06893245347
22	0.06893186796
23	0.06893151241
24	0.06893134046
25	0.06892923345
26	0.06892923345
27	0.06892923305
28	0.06892870199
29	0.06892749923
30	0.06892749599
31	0.06892749018
32	0.06892570415
33	0.06892565269
34	0.06892549045
35	0.06892505654
36	0.06892358497
37	0.0689231036
38	0.06892296804
39	0.0689221916
40	0.06892150839
41	0.06892022915
42	0.06892022304
43	0.06892021781
44	0.06891944749
45	0.06891897439
46	0.06891843724
47	0.06891831545
48	0.06891831466
49	0.06891830948
50	0.06891830212
51	0.06891779954
52	0.06891779301
53	0.06891689761
54	0.06891540959
55	0.06891540183
56	0.06891536365
57	0.06891452303
58	0.068913799
59	0.06891324162
60	0.06891308636
61	0.06891287685
62	0.06891268669
63	0.06891237466
64	0.06891148606
65	0.06891118901
66	0.0689107165
67	0.06891070179
68	0.06891069586
69	0.06891043962
70	0.06890974444
71	0.06890969997
72	0.06890966156
73	0.06890918625
74	0.06890870225
75	0.06890856097
76	0.0689085443
77	0.06890839361
78	0.06890787942
79	0.06890758384
80	0.06890756316
81	0.06890726778
82	0.06890706601
83	0.06890589899
84	0.06890577133
85	0.06890566205
86	0.06890511882
87	0.06890482694
88	0.0689048209
89	0.06890466862
90	0.06890451764
91	0.06890451362
92	0.06890450271
93	0.06890449525
94	0.06890416015
95	0.06890383372
96	0.06890334389
97	0.06890330075
98	0.06890329857
99	0.0689029719
